symbol,name,price,changePercentage,change,volume,dayLow,dayHigh,yearHigh,yearLow,marketCap,priceAvg50,priceAvg200,exchange,open,previousClose,timestamp
UBER,"Uber Technologies, Inc.",72.94,0.23361,0.17,15709877,71.77,74.105,101.99,60.63,151556946240,81.849,89.02815,NYSE,71.87,72.77,1771534803
LYFT,"Lyft, Inc.",13.9,1.38585,0.19,14767829,13.6,14.015,25.54,9.66,5551012288,18.7054,17.85443,NASDAQ,13.8,13.71,1771534801
DASH,"DoorDash, Inc.",176.19,1.62072,2.81,17953665,175.16,185.8944,285.5,155.4,75937628005,213.347,230.07484,NASDAQ,184.925,173.38,1771534803
